method,seed,generation,best_f1_iv,best_f2_deg,best_f3_cta,best_select_f1_iv,best_select_f2_deg,best_select_f3_cta,front_mean_f1_iv,front_mean_f2_deg,front_mean_f3_cta,front_mean_select_f1_iv,front_mean_select_f2_deg,front_mean_select_f3_cta,average_objective,raw_average_objective,best_average_objective,best_raw_average_objective,constraint_violation,hv,igd,config
MOEA/D::default,1001,220,0.16261886060237885,0.034103211015462875,0.23258984088897705,0.16261886060237885,0.034103211015462875,0.23258984088897705,0.1426941305398941,0.037599630653858185,0.26902225613594055,0.1426941305398941,0.037599630653858185,0.26902225613594055,0.14977200329303741,0.14977200329303741,0.1431039720773697,0.1431039720773697,0.0,0.6925,0.10298732949763151,default
MOEA/D::default,1002,220,0.14506034553050995,0.02268376015126705,0.24634985625743866,0.14506034553050995,0.02268376015126705,0.24634985625743866,0.14440520107746124,0.024055389687418938,0.24587397277355194,0.14440520107746124,0.024055389687418938,0.24587397277355194,0.13811151683330536,0.13811151683330536,0.13803131878376007,0.13803131878376007,0.0,0.6916666666666667,0.075619442758536,default
MOEA/D::default,1003,220,0.10831564664840698,0.020149968564510345,0.2676355242729187,0.10831564664840698,0.020149968564510345,0.2676355242729187,0.11218778043985367,0.022656502202153206,0.2530473470687866,0.11218778043985367,0.022656502202153206,0.2530473470687866,0.12929721176624298,0.12929721176624298,0.13203372061252594,0.13203372061252594,0.0,0.75,0.05001856380075301,default
MOEA/D::default,1004,220,0.20285217463970184,0.03260272741317749,0.39954861998558044,0.20285217463970184,0.03260272741317749,0.39954861998558044,0.17613770067691803,0.04682213440537453,0.28136417269706726,0.17613770067691803,0.04682213440537453,0.28136417269706726,0.1681080013513565,0.1681080013513565,0.21166783571243286,0.21166783571243286,0.0,0.63,0.16828703316407673,default
MOEA/D::default,1005,220,0.16632476449012756,0.03458252549171448,0.27514058351516724,0.16632476449012756,0.03458252549171448,0.27514058351516724,0.14916759729385376,0.03828217089176178,0.29580891132354736,0.14916759729385376,0.03828217089176178,0.29580891132354736,0.16108621656894684,0.16108621656894684,0.15868262946605682,0.15868262946605682,0.0,0.6766666666666666,0.11930388633720218,default
MOEA/D::default,1006,220,0.13688530027866364,0.026995539665222168,0.2994339168071747,0.13688530027866364,0.026995539665222168,0.2994339168071747,0.14248627424240112,0.03309687599539757,0.25015386939048767,0.14248627424240112,0.03309687599539757,0.25015386939048767,0.1419123411178589,0.1419123411178589,0.15443825721740723,0.15443825721740723,0.0,0.7116666666666667,0.07240255607033473,default
MOEA/D::default,1007,220,0.18348221480846405,0.02927229180932045,0.3548401892185211,0.18348221480846405,0.02927229180932045,0.3548401892185211,0.17355354130268097,0.04135580360889435,0.33861005306243896,0.17355354130268097,0.04135580360889435,0.33861005306243896,0.18450646102428436,0.18450646102428436,0.18919824063777924,0.18919824063777924,0.0,0.6291666666666667,0.12797595538655335,default
MOEA/D::default,1008,220,0.10497118532657623,0.021146761253476143,0.1789432168006897,0.10497118532657623,0.021146761253476143,0.1789432168006897,0.09672823548316956,0.026090102270245552,0.2026970237493515,0.09672823548316956,0.026090102270245552,0.2026970237493515,0.10850512236356735,0.10850512236356735,0.10168705135583878,0.10168705135583878,0.0,0.7958333333333333,0.016089217699136595,default
MOEA/D::default,1009,220,0.09457875043153763,0.032540418207645416,0.2626529633998871,0.09457875043153763,0.032540418207645416,0.2626529633998871,0.10821131616830826,0.03447693958878517,0.22638870775699615,0.10821131616830826,0.03447693958878517,0.22638870775699615,0.12302565574645996,0.12302565574645996,0.12992404401302338,0.12992404401302338,0.0,0.7383333333333333,0.0665196498181285,default
MOEA/D::default,1010,220,0.1581830382347107,0.024605154991149902,0.33212730288505554,0.1581830382347107,0.024605154991149902,0.33212730288505554,0.123454250395298,0.0450468584895134,0.28718528151512146,0.123454250395298,0.0450468584895134,0.28718528151512146,0.1518954634666443,0.1518954634666443,0.17163848876953125,0.17163848876953125,0.0,0.7091666666666666,0.08567130018021793,default
