method,seed,front_points,Final_F1_IV,Final_F2_DEG,Final_F3_CTA,Average_objective,Raw_average_objective,HV,IGD,KCSR,PAM,Convergence_Generation
Knowledge-constrained NSGA-II,42,140,0.0657762736082077,0.009932463988661766,0.27479076385498047,0.1168331727385521,0.1168331727385521,0.825,0.009898402342704648,1.0,0.07343842834234238,38
Knowledge-constrained NSGA-II,43,140,0.07764627039432526,0.009767696261405945,0.25501924753189087,0.11414440721273422,0.11414440721273422,0.86,0.004177670594993966,1.0,0.07397889345884323,99
Knowledge-constrained NSGA-II,44,140,0.07249823212623596,0.008306859992444515,0.3285488486289978,0.13645131886005402,0.13645131886005402,0.8175,0.01719102736596063,1.0,0.08005277812480927,56
NSGA-II,42,135,0.0939224436879158,0.011746600270271301,0.2600139379501343,0.12189432978630066,0.12189432978630066,0.7908333333333334,0.025651040699604128,1.0,0.10562963038682938,251
NSGA-II,43,135,0.11900916695594788,0.01237622369080782,0.2505819499492645,0.12732245028018951,0.12732245028018951,0.7683333333333333,0.040076483090292554,1.0,0.09910859912633896,143
NSGA-II,44,135,0.11226975917816162,0.011458813212811947,0.2491641342639923,0.12429756671190262,0.12429756671190262,0.7783333333333333,0.03400724075813453,1.0,0.09809155762195587,191
NSGA-III,42,135,0.09470075368881226,0.010692711919546127,0.21032129228115082,0.10523825883865356,0.10523825883865356,0.7991666666666667,0.026913372077746047,1.0,0.09734950214624405,283
NSGA-III,43,135,0.1096460223197937,0.013836715370416641,0.2757180333137512,0.13306692242622375,0.13306692242622375,0.7541666666666667,0.05260711302927341,1.0,0.10825242847204208,124
NSGA-III,44,128,0.08328663557767868,0.010626259259879589,0.24069850146770477,0.11153712868690491,0.11153712868690491,0.7958333333333333,0.024623284248807654,1.0,0.10124669224023819,196
MOEA/D,42,123,0.14502814412117004,0.014233121648430824,0.2673722207546234,0.1422111541032791,0.1422111541032791,0.7291666666666666,0.08174260326079909,1.0,0.13800889253616333,60
MOEA/D,43,131,0.10877835005521774,0.023681530728936195,0.2598746120929718,0.13077816367149353,0.13077816367149353,0.7325,0.12919321606937384,1.0,0.12094805389642715,37
MOEA/D,44,124,0.11170750856399536,0.015293600969016552,0.21446844935417175,0.11382318288087845,0.11382318288087845,0.7625,0.05868255440915787,1.0,0.1170627549290657,258
